Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price
BMW X7,xDrive40i M Sport,2024,"28,310 kms",Petrol,Automatic,₹1.09 Crore
Jeep Compass,2.0 Model S Opt 4x4 AT,2022,"40,000 kms",Diesel,Automatic,₹18 Lakh
Maruti Suzuki Swift Dzire,VXI,2015,"33,000 kms",Petrol,Manual,₹2.55 Lakh
Jeep Compass,1.4 Limited Plus BSIV,2019,"45,000 kms",Petrol,Automatic,₹11.25 Lakh
Honda Amaze,VX CVT Petrol,2020,"50,388 kms",Petrol,Automatic,₹4.33 Lakh
Tata Harrier,XZA Plus (O) AT BSVI,2023,"27,000 kms",Diesel,Automatic,₹15.75 Lakh
Tata Tiago,XT CNG BSVI,2022,"79,150 kms",CNG,Manual,₹4.01 Lakh
Mahindra XUV500,R W10 FWD,2018,"53,000 kms",Diesel,Manual,₹7.50 Lakh
Maruti Suzuki Wagon R,CNG LXI,2021,"12,390 kms",CNG,Manual,₹4.04 Lakh
Honda Amaze 2nd Gen,VX BSVI,2023,"50,000 kms",Petrol,Manual,₹7.37 Lakh
Honda Amaze,S Petrol BSIV,2019,"23,946 kms",Petrol,Manual,₹4.27 Lakh
Jeep Compass,1.4 Limited Option,2020,"74,000 kms",Petrol,Automatic,₹11.50 Lakh
MG Astor,Savvy Sangria Turbo AT,2024,"10,000 kms",Petrol,Automatic,₹12.50 Lakh
Honda Jazz,1.2 S i VTEC,2016,"35,000 kms",Petrol,Manual,₹3.25 Lakh
MG Hector Plus,Super Diesel MT 7 STR,2021,"36,000 kms",Diesel,Manual,₹11.55 Lakh
Ford Ecosport,1.5 Petrol Titanium BSIV,2018,"50,000 kms",Petrol,Manual,₹5.25 Lakh
MG Hector Plus,Sharp Diesel MT,2022,"41,000 kms",Diesel,Manual,₹12.60 Lakh
Skoda Rapid,1.6 MPI AT Style BSIV,2020,"22,000 kms",Petrol,Automatic,₹7.75 Lakh
MG Gloster,Black Storm 4x4 7Str,2023,"40,000 kms",Diesel,Automatic,₹29.75 Lakh
Honda CR-V,2.0 CVT,2020,"59,000 kms",Petrol,Automatic,₹16.49 Lakh
Tata Punch,Accomplished AMT BSVI,2022,"4,000 kms",Petrol,Automatic,₹7.09 Lakh
Kia Seltos,HTX,2024,"26,000 kms",Petrol,Manual,₹12.80 Lakh
MG Hector Plus,Sharp Hybrid MT,2021,"55,000 kms",Petrol,Manual,₹11.90 Lakh
Kia Sonet,HTX Turbo DCT BSVI,2022,"40,900 kms",Petrol,Automatic,₹9.75 Lakh
Fiat Punto,1.2 Active,2014,"60,000 kms",Petrol,Manual,₹1.45 Lakh
MG Gloster,Savvy 4x4 6Str,2022,"56,000 kms",Diesel,Automatic,₹26.90 Lakh
Kia Seltos,GTX Plus DCT,2021,"56,597 kms",Petrol,Automatic,₹10.36 Lakh
Kia Sonet,GTX Plus Turbo DCT DT,2020,"58,000 kms",Petrol,Automatic,₹9.25 Lakh
Hyundai Alcazar,Signature,2023,"26,000 kms",Petrol,Manual,₹20 Lakh
MG Hector Plus,Sharp Pro CVT 7 Str 2023-2025,2023,"50,000 kms",Petrol,Automatic,₹14.90 Lakh
Kia Seltos,GTX Plus,2021,"45,000 kms",Petrol,Manual,₹11.80 Lakh
Kia Seltos,GTX Plus DCT,2023,"24,000 kms",Petrol,Automatic,₹14.35 Lakh
Toyota Corolla Altis,GL,2011,"65,000 kms",Petrol,Manual,₹1.65 Lakh
Hyundai Creta,SX Opt Diesel AT BSVI,2020,"80,000 kms",Diesel,Automatic,₹11.25 Lakh
Hyundai Creta,1.6 VTVT S,2016,"65,000 kms",Petrol,Manual,₹6.40 Lakh
Kia Seltos,GTX Plus S Turbo DCT,2019,"1,19,593 kms",Petrol,Automatic,₹8.83 Lakh
MG Hector Plus,Sharp DCT,2020,"61,000 kms",Petrol,Automatic,₹11 Lakh
Hyundai Creta,EX BSVI,2020,"59,000 kms",Petrol,Manual,₹8.25 Lakh
Kia Seltos,GTX Plus DCT,2023,"39,000 kms",Petrol,Automatic,₹15.25 Lakh
Kia Seltos,HTK G,2021,"33,200 kms",Petrol,Manual,₹8.21 Lakh
Ford Ecosport,1.5 Petrol Ambiente BSIV,2018,"31,500 kms",Petrol,Manual,₹5.90 Lakh
Kia Carens,Luxury Plus iMT 6 STR,2023,"48,102 kms",Petrol,Manual,₹10.72 Lakh
Honda CR-V,Diesel 2WD,2019,"1,24,000 kms",Diesel,Automatic,₹12.99 Lakh
Kia Sonet,HTK Plus BSVI,2022,"40,000 kms",Petrol,Manual,₹6.99 Lakh
Volvo S90,D4 Inscription BSIV,2018,"1,00,000 kms",Diesel,Automatic,₹18 Lakh
BMW 3 Series GT,Luxury Line,2016,"28,000 kms",Diesel,Automatic,₹15.80 Lakh
Mahindra Marazzo,M4,2019,"54,000 kms",Diesel,Manual,₹6.49 Lakh
Tata Tiago,1.2 Revotron XZ,2019,"67,000 kms",Petrol,Manual,₹3.65 Lakh
Volkswagen Polo,Petrol Trendline 1.2L,2012,"65,000 kms",Petrol,Manual,₹1.65 Lakh
Nissan Magnite,Turbo CVT XV BSVI,2022,"40,000 kms",Petrol,Automatic,₹6.25 Lakh
Toyota Innova Crysta,2.8 GX AT BSIV,2017,"1,49,000 kms",Diesel,Automatic,₹11.85 Lakh
Mahindra Thar,LX Hard Top,2023,"32,000 kms",Petrol,Manual,₹13.25 Lakh
Maruti Suzuki Ritz,VXI,2011,"65,700 kms",Petrol,Manual,₹1.25 Lakh
Toyota Innova Crysta,2.4 VX MT BSIV,2018,"1,41,000 kms",Diesel,Manual,₹13.90 Lakh
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,"24,000 kms",Petrol,Manual,₹11.20 Lakh
Kia Seltos,HTK G,2020,"9,800 kms",Petrol,Manual,₹8.20 Lakh
Skoda Superb,LK 1.8 TSI AT,2017,"96,200 kms",Petrol,Automatic,₹14 Lakh
MG Hector,Shine CVT,2022,"21,000 kms",Petrol,Automatic,₹11 Lakh
Maruti Suzuki Swift Dzire,VXI,2015,"65,000 kms",Petrol,Manual,₹3.10 Lakh
Skoda Slavia,1.0L Sportline AT,2025,"6,000 kms",Petrol,Automatic,₹13.50 Lakh
Hyundai Verna,1.6 SX VTVT,2011,"1,20,000 kms",Petrol,Manual,₹1.70 Lakh
Toyota Camry,Hybrid 2.5,2022,"36,000 kms",Petrol,Automatic,₹28.80 Lakh
Hyundai Grand i10 Nios,Corp Edition,2022,"52,000 kms",Petrol,Manual,₹5.05 Lakh
Mercedes-Benz C-Class,C 200 CGI,2016,"66,000 kms",Petrol,Automatic,₹17 Lakh
Chevrolet Beat,LS,2013,"65,000 kms",Petrol,Manual,₹1.30 Lakh
Skoda Octavia,Style,2022,"11,000 kms",Petrol,Automatic,₹21.90 Lakh
Maruti Suzuki Ciaz,VXi,2016,"75,000 kms",Petrol,Manual,₹3.75 Lakh
Audi A4,Technology,2021,"65,000 kms",Petrol,Automatic,₹24.75 Lakh
Maruti Suzuki Invicto,Zeta Plus 7Str,2024,"55,000 kms",Petrol,Automatic,₹21.99 Lakh
