Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Brand,Price_per_year,KM_per_year,Car_type
BMW X7,xDrive40i M Sport,2024,28310,Petrol,Automatic,10900000.0,2,BMW,5450000.0,14155.0,Luxury
Jeep Compass,2.0 Model S Opt 4x4 AT,2022,40000,Diesel,Automatic,1800000.0,4,Jeep,450000.0,10000.0,Non-Luxury
Maruti Suzuki Swift Dzire,VXI,2015,33000,Petrol,Manual,255000.0,11,Maruti Suzuki,23181.82,3000.0,Non-Luxury
Jeep Compass,1.4 Limited Plus BSIV,2019,45000,Petrol,Automatic,1125000.0,7,Jeep,160714.29,6428.57,Non-Luxury
Honda Amaze,VX CVT Petrol,2020,50388,Petrol,Automatic,433000.0,6,Honda,72166.67,8398.0,Non-Luxury
Tata Harrier,XZA Plus (O) AT BSVI,2023,27000,Diesel,Automatic,1575000.0,3,Tata,525000.0,9000.0,Non-Luxury
Tata Tiago,XT CNG BSVI,2022,79150,CNG,Manual,401000.0,4,Tata,100250.0,19787.5,Non-Luxury
Mahindra XUV500,R W10 FWD,2018,53000,Diesel,Manual,750000.0,8,Mahindra,93750.0,6625.0,Non-Luxury
Maruti Suzuki Wagon R,CNG LXI,2021,12390,CNG,Manual,404000.0,5,Maruti Suzuki,80800.0,2478.0,Non-Luxury
Honda Amaze 2nd Gen,VX BSVI,2023,50000,Petrol,Manual,737000.0,3,Honda,245666.67,16666.67,Non-Luxury
Honda Amaze,S Petrol BSIV,2019,23946,Petrol,Manual,427000.0,7,Honda,61000.0,3420.86,Non-Luxury
Jeep Compass,1.4 Limited Option,2020,74000,Petrol,Automatic,1150000.0,6,Jeep,191666.67,12333.33,Non-Luxury
MG Astor,Savvy Sangria Turbo AT,2024,10000,Petrol,Automatic,1250000.0,2,MG,625000.0,5000.0,Non-Luxury
Honda Jazz,1.2 S i VTEC,2016,35000,Petrol,Manual,325000.0,10,Honda,32500.0,3500.0,Non-Luxury
MG Hector Plus,Super Diesel MT 7 STR,2021,36000,Diesel,Manual,1155000.0,5,MG,231000.0,7200.0,Non-Luxury
Ford Ecosport,1.5 Petrol Titanium BSIV,2018,50000,Petrol,Manual,525000.0,8,Ford,65625.0,6250.0,Non-Luxury
MG Hector Plus,Sharp Diesel MT,2022,41000,Diesel,Manual,1260000.0,4,MG,315000.0,10250.0,Non-Luxury
Skoda Rapid,1.6 MPI AT Style BSIV,2020,22000,Petrol,Automatic,775000.0,6,Skoda,129166.67,3666.67,Non-Luxury
MG Gloster,Black Storm 4x4 7Str,2023,40000,Diesel,Automatic,2975000.0,3,MG,991666.67,13333.33,Non-Luxury
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1648999.9999999998,6,Honda,274833.33,9833.33,Non-Luxury
Tata Punch,Accomplished AMT BSVI,2022,4000,Petrol,Automatic,709000.0,4,Tata,177250.0,1000.0,Non-Luxury
Kia Seltos,HTX,2024,26000,Petrol,Manual,1280000.0,2,Kia,640000.0,13000.0,Non-Luxury
MG Hector Plus,Sharp Hybrid MT,2021,55000,Petrol,Manual,1190000.0,5,MG,238000.0,11000.0,Non-Luxury
Kia Sonet,HTX Turbo DCT BSVI,2022,40900,Petrol,Automatic,975000.0,4,Kia,243750.0,10225.0,Non-Luxury
Fiat Punto,1.2 Active,2014,60000,Petrol,Manual,145000.0,12,Fiat,12083.33,5000.0,Non-Luxury
MG Gloster,Savvy 4x4 6Str,2022,56000,Diesel,Automatic,2690000.0,4,MG,672500.0,14000.0,Non-Luxury
Kia Seltos,GTX Plus DCT,2021,56597,Petrol,Automatic,1036000.0,5,Kia,207200.0,11319.4,Non-Luxury
Kia Sonet,GTX Plus Turbo DCT DT,2020,58000,Petrol,Automatic,925000.0,6,Kia,154166.67,9666.67,Non-Luxury
Hyundai Alcazar,Signature,2023,26000,Petrol,Manual,2000000.0,3,Hyundai,666666.67,8666.67,Non-Luxury
MG Hector Plus,Sharp Pro CVT 7 Str 2023-2025,2023,50000,Petrol,Automatic,1490000.0,3,MG,496666.67,16666.67,Non-Luxury
Kia Seltos,GTX Plus,2021,45000,Petrol,Manual,1180000.0,5,Kia,236000.0,9000.0,Non-Luxury
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1435000.0,3,Kia,478333.33,8000.0,Non-Luxury
Toyota Corolla Altis,GL,2011,65000,Petrol,Manual,165000.0,15,Toyota,11000.0,4333.33,Non-Luxury
Hyundai Creta,SX Opt Diesel AT BSVI,2020,80000,Diesel,Automatic,1125000.0,6,Hyundai,187500.0,13333.33,Non-Luxury
Hyundai Creta,1.6 VTVT S,2016,65000,Petrol,Manual,640000.0,10,Hyundai,64000.0,6500.0,Non-Luxury
Kia Seltos,GTX Plus S Turbo DCT,2019,119593,Petrol,Automatic,883000.0,7,Kia,126142.86,17084.71,Non-Luxury
MG Hector Plus,Sharp DCT,2020,61000,Petrol,Automatic,1100000.0,6,MG,183333.33,10166.67,Non-Luxury
Hyundai Creta,EX BSVI,2020,59000,Petrol,Manual,825000.0,6,Hyundai,137500.0,9833.33,Non-Luxury
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1525000.0,3,Kia,508333.33,13000.0,Non-Luxury
Kia Seltos,HTK G,2021,33200,Petrol,Manual,821000.0000000001,5,Kia,164200.0,6640.0,Non-Luxury
Ford Ecosport,1.5 Petrol Ambiente BSIV,2018,31500,Petrol,Manual,590000.0,8,Ford,73750.0,3937.5,Non-Luxury
Kia Carens,Luxury Plus iMT 6 STR,2023,48102,Petrol,Manual,1072000.0,3,Kia,357333.33,16034.0,Non-Luxury
Honda CR-V,Diesel 2WD,2019,124000,Diesel,Automatic,1299000.0,7,Honda,185571.43,17714.29,Non-Luxury
Kia Sonet,HTK Plus BSVI,2022,40000,Petrol,Manual,699000.0,4,Kia,174750.0,10000.0,Non-Luxury
Volvo S90,D4 Inscription BSIV,2018,100000,Diesel,Automatic,1800000.0,8,Volvo,225000.0,12500.0,Non-Luxury
BMW 3 Series GT,Luxury Line,2016,28000,Diesel,Automatic,1580000.0,10,BMW,158000.0,2800.0,Non-Luxury
Mahindra Marazzo,M4,2019,54000,Diesel,Manual,649000.0,7,Mahindra,92714.29,7714.29,Non-Luxury
Tata Tiago,1.2 Revotron XZ,2019,67000,Petrol,Manual,365000.0,7,Tata,52142.86,9571.43,Non-Luxury
Volkswagen Polo,Petrol Trendline 1.2L,2012,65000,Petrol,Manual,165000.0,14,Volkswagen,11785.71,4642.86,Non-Luxury
Nissan Magnite,Turbo CVT XV BSVI,2022,40000,Petrol,Automatic,625000.0,4,Nissan,156250.0,10000.0,Non-Luxury
Toyota Innova Crysta,2.8 GX AT BSIV,2017,149000,Diesel,Automatic,1185000.0,9,Toyota,131666.67,16555.56,Non-Luxury
Mahindra Thar,LX Hard Top,2023,32000,Petrol,Manual,1325000.0,3,Mahindra,441666.67,10666.67,Non-Luxury
Maruti Suzuki Ritz,VXI,2011,65700,Petrol,Manual,125000.0,15,Maruti Suzuki,8333.33,4380.0,Non-Luxury
Toyota Innova Crysta,2.4 VX MT BSIV,2018,141000,Diesel,Manual,1390000.0,8,Toyota,173750.0,17625.0,Non-Luxury
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,24000,Petrol,Manual,1120000.0,4,Maruti Suzuki,280000.0,6000.0,Non-Luxury
Kia Seltos,HTK G,2020,9800,Petrol,Manual,819999.9999999999,6,Kia,136666.67,1633.33,Non-Luxury
Skoda Superb,LK 1.8 TSI AT,2017,96200,Petrol,Automatic,1400000.0,9,Skoda,155555.56,10688.89,Non-Luxury
MG Hector,Shine CVT,2022,21000,Petrol,Automatic,1100000.0,4,MG,275000.0,5250.0,Non-Luxury
Maruti Suzuki Swift Dzire,VXI,2015,65000,Petrol,Manual,310000.0,11,Maruti Suzuki,28181.82,5909.09,Non-Luxury
Skoda Slavia,1.0L Sportline AT,2025,6000,Petrol,Automatic,1350000.0,1,Skoda,1350000.0,6000.0,Non-Luxury
Hyundai Verna,1.6 SX VTVT,2011,120000,Petrol,Manual,170000.0,15,Hyundai,11333.33,8000.0,Non-Luxury
Toyota Camry,Hybrid 2.5,2022,36000,Petrol,Automatic,2880000.0,4,Toyota,720000.0,9000.0,Non-Luxury
Hyundai Grand i10 Nios,Corp Edition,2022,52000,Petrol,Manual,505000.0,4,Hyundai,126250.0,13000.0,Non-Luxury
Mercedes-Benz C-Class,C 200 CGI,2016,66000,Petrol,Automatic,1700000.0,10,Mercedes-Benz,170000.0,6600.0,Non-Luxury
Chevrolet Beat,LS,2013,65000,Petrol,Manual,130000.0,13,Chevrolet,10000.0,5000.0,Non-Luxury
Skoda Octavia,Style,2022,11000,Petrol,Automatic,2190000.0,4,Skoda,547500.0,2750.0,Non-Luxury
Maruti Suzuki Ciaz,VXi,2016,75000,Petrol,Manual,375000.0,10,Maruti Suzuki,37500.0,7500.0,Non-Luxury
Audi A4,Technology,2021,65000,Petrol,Automatic,2475000.0,5,Audi,495000.0,13000.0,Non-Luxury
Maruti Suzuki Invicto,Zeta Plus 7Str,2024,55000,Petrol,Automatic,2199000.0,2,Maruti Suzuki,1099500.0,27500.0,Non-Luxury
BMW 7 Series,730Ld DPE,2019,65000,Diesel,Automatic,2975000.0,7,BMW,425000.0,9285.71,Non-Luxury
Toyota Camry,Hybrid 2.5,2022,35000,Petrol,Automatic,2950000.0,4,Toyota,737500.0,8750.0,Non-Luxury
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,41000,Diesel,Automatic,1135000.0,4,Mahindra,283750.0,10250.0,Non-Luxury
Kia Seltos,GTX Plus Diesel AT,2019,81000,Diesel,Automatic,950000.0,7,Kia,135714.29,11571.43,Non-Luxury
Toyota Fortuner,4X2 Diesel AT,2024,13500,Diesel,Automatic,3990000.0,2,Toyota,1995000.0,6750.0,Non-Luxury
Ford Endeavour,Sport Edition,2021,148000,Diesel,Automatic,2450000.0,5,Ford,490000.0,29600.0,Non-Luxury
Honda Jazz,1.2 V AT i VTEC,2015,69000,Petrol,Automatic,385000.0,11,Honda,35000.0,6272.73,Non-Luxury
Honda City,V MT,2022,57000,Petrol,Manual,741000.0,4,Honda,185250.0,14250.0,Non-Luxury
