Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year,Brand
BMW X7,xDrive40i M Sport,2024,28310,Petrol,Automatic,10900000.0,2,5450000.0,14155.0,BMW
Jeep Compass,2.0 Model S Opt 4x4 AT,2022,40000,Diesel,Automatic,1800000.0,4,450000.0,10000.0,Jeep
Maruti Suzuki Swift Dzire,VXI,2015,33000,Petrol,Manual,255000.0,11,23181.81818181818,3000.0,Maruti Suzuki
Jeep Compass,1.4 Limited Plus BSIV,2019,45000,Petrol,Automatic,1125000.0,7,160714.2857142857,6428.571428571428,Jeep
Honda Amaze,VX CVT Petrol,2020,50388,Petrol,Automatic,433000.0,6,72166.66666666667,8398.0,Honda
Tata Harrier,XZA Plus (O) AT BSVI,2023,27000,Diesel,Automatic,1575000.0,3,525000.0,9000.0,Tata
Tata Tiago,XT CNG BSVI,2022,79150,CNG,Manual,401000.0,4,100250.0,19787.5,Tata
Mahindra XUV500,R W10 FWD,2018,53000,Diesel,Manual,750000.0,8,93750.0,6625.0,Mahindra
Maruti Suzuki Wagon R,CNG LXI,2021,12390,CNG,Manual,404000.0,5,80800.0,2478.0,Maruti Suzuki
Honda Amaze 2nd Gen,VX BSVI,2023,50000,Petrol,Manual,737000.0,3,245666.66666666666,16666.666666666668,Honda
Honda Amaze,S Petrol BSIV,2019,23946,Petrol,Manual,427000.0,7,61000.0,3420.8571428571427,Honda
Jeep Compass,1.4 Limited Option,2020,74000,Petrol,Automatic,1150000.0,6,191666.66666666666,12333.333333333334,Jeep
MG Astor,Savvy Sangria Turbo AT,2024,10000,Petrol,Automatic,1250000.0,2,625000.0,5000.0,MG
Honda Jazz,1.2 S i VTEC,2016,35000,Petrol,Manual,325000.0,10,32500.0,3500.0,Honda
MG Hector Plus,Super Diesel MT 7 STR,2021,36000,Diesel,Manual,1155000.0,5,231000.0,7200.0,MG
Ford Ecosport,1.5 Petrol Titanium BSIV,2018,50000,Petrol,Manual,525000.0,8,65625.0,6250.0,Ford
MG Hector Plus,Sharp Diesel MT,2022,41000,Diesel,Manual,1260000.0,4,315000.0,10250.0,MG
Skoda Rapid,1.6 MPI AT Style BSIV,2020,22000,Petrol,Automatic,775000.0,6,129166.66666666667,3666.6666666666665,Skoda
MG Gloster,Black Storm 4x4 7Str,2023,40000,Diesel,Automatic,2975000.0,3,991666.6666666666,13333.333333333334,MG
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1648999.9999999998,6,274833.3333333333,9833.333333333334,Honda
Tata Punch,Accomplished AMT BSVI,2022,4000,Petrol,Automatic,709000.0,4,177250.0,1000.0,Tata
Kia Seltos,HTX,2024,26000,Petrol,Manual,1280000.0,2,640000.0,13000.0,Kia
MG Hector Plus,Sharp Hybrid MT,2021,55000,Petrol,Manual,1190000.0,5,238000.0,11000.0,MG
Kia Sonet,HTX Turbo DCT BSVI,2022,40900,Petrol,Automatic,975000.0,4,243750.0,10225.0,Kia
Fiat Punto,1.2 Active,2014,60000,Petrol,Manual,145000.0,12,12083.333333333334,5000.0,Fiat
MG Gloster,Savvy 4x4 6Str,2022,56000,Diesel,Automatic,2690000.0,4,672500.0,14000.0,MG
Kia Seltos,GTX Plus DCT,2021,56597,Petrol,Automatic,1036000.0,5,207200.0,11319.4,Kia
Kia Sonet,GTX Plus Turbo DCT DT,2020,58000,Petrol,Automatic,925000.0,6,154166.66666666666,9666.666666666666,Kia
Hyundai Alcazar,Signature,2023,26000,Petrol,Manual,2000000.0,3,666666.6666666666,8666.666666666666,Hyundai
MG Hector Plus,Sharp Pro CVT 7 Str 2023-2025,2023,50000,Petrol,Automatic,1490000.0,3,496666.6666666667,16666.666666666668,MG
Kia Seltos,GTX Plus,2021,45000,Petrol,Manual,1180000.0,5,236000.0,9000.0,Kia
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1435000.0,3,478333.3333333333,8000.0,Kia
Toyota Corolla Altis,GL,2011,65000,Petrol,Manual,165000.0,15,11000.0,4333.333333333333,Toyota
Hyundai Creta,SX Opt Diesel AT BSVI,2020,80000,Diesel,Automatic,1125000.0,6,187500.0,13333.333333333334,Hyundai
Hyundai Creta,1.6 VTVT S,2016,65000,Petrol,Manual,640000.0,10,64000.0,6500.0,Hyundai
Kia Seltos,GTX Plus S Turbo DCT,2019,119593,Petrol,Automatic,883000.0,7,126142.85714285714,17084.714285714286,Kia
MG Hector Plus,Sharp DCT,2020,61000,Petrol,Automatic,1100000.0,6,183333.33333333334,10166.666666666666,MG
Hyundai Creta,EX BSVI,2020,59000,Petrol,Manual,825000.0,6,137500.0,9833.333333333334,Hyundai
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1525000.0,3,508333.3333333333,13000.0,Kia
Kia Seltos,HTK G,2021,33200,Petrol,Manual,821000.0000000001,5,164200.00000000003,6640.0,Kia
