Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year
BMW X7,xDrive40i M Sport,2024,28310,Petrol,Automatic,10900000.0,2,5450000.0,14155.0
Jeep Compass,2.0 Model S Opt 4x4 AT,2022,40000,Diesel,Automatic,1800000.0,4,450000.0,10000.0
Maruti Suzuki Swift Dzire,VXI,2015,33000,Petrol,Manual,254999.99999999997,11,23181.82,3000.0
Jeep Compass,1.4 Limited Plus BSIV,2019,45000,Petrol,Automatic,1125000.0,7,160714.29,6428.57
Honda Amaze,VX CVT Petrol,2020,50388,Petrol,Automatic,433000.0,6,72166.67,8398.0
Tata Harrier,XZA Plus (O) AT BSVI,2023,27000,Diesel,Automatic,1575000.0,3,525000.0,9000.0
Tata Tiago,XT CNG BSVI,2022,79150,CNG,Manual,401000.0,4,100250.0,19787.5
Mahindra XUV500,R W10 FWD,2018,53000,Diesel,Manual,750000.0,8,93750.0,6625.0
Maruti Suzuki Wagon R,CNG LXI,2021,12390,CNG,Manual,404000.0,5,80800.0,2478.0
Honda Amaze 2nd Gen,VX BSVI,2023,50000,Petrol,Manual,737000.0,3,245666.67,16666.67
Honda Amaze,S Petrol BSIV,2019,23946,Petrol,Manual,426999.99999999994,7,61000.0,3420.86
Jeep Compass,1.4 Limited Option,2020,74000,Petrol,Automatic,1150000.0,6,191666.67,12333.33
MG Astor,Savvy Sangria Turbo AT,2024,10000,Petrol,Automatic,1250000.0,2,625000.0,5000.0
Honda Jazz,1.2 S i VTEC,2016,35000,Petrol,Manual,325000.0,10,32500.0,3500.0
MG Hector Plus,Super Diesel MT 7 STR,2021,36000,Diesel,Manual,1155000.0,5,231000.0,7200.0
Ford Ecosport,1.5 Petrol Titanium BSIV,2018,50000,Petrol,Manual,525000.0,8,65625.0,6250.0
MG Hector Plus,Sharp Diesel MT,2022,41000,Diesel,Manual,1260000.0,4,315000.0,10250.0
Skoda Rapid,1.6 MPI AT Style BSIV,2020,22000,Petrol,Automatic,775000.0,6,129166.67,3666.67
MG Gloster,Black Storm 4x4 7Str,2023,40000,Diesel,Automatic,2975000.0,3,991666.67,13333.33
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1648999.9999999998,6,274833.33,9833.33
Tata Punch,Accomplished AMT BSVI,2022,4000,Petrol,Automatic,709000.0,4,177250.0,1000.0
Kia Seltos,HTX,2024,26000,Petrol,Manual,1280000.0,2,640000.0,13000.0
MG Hector Plus,Sharp Hybrid MT,2021,55000,Petrol,Manual,1190000.0,5,238000.0,11000.0
Kia Sonet,HTX Turbo DCT BSVI,2022,40900,Petrol,Automatic,975000.0,4,243750.0,10225.0
Fiat Punto,1.2 Active,2014,60000,Petrol,Manual,145000.0,12,12083.33,5000.0
MG Gloster,Savvy 4x4 6Str,2022,56000,Diesel,Automatic,2690000.0,4,672500.0,14000.0
Kia Seltos,GTX Plus DCT,2021,56597,Petrol,Automatic,1036000.0,5,207200.0,11319.4
Kia Sonet,GTX Plus Turbo DCT DT,2020,58000,Petrol,Automatic,925000.0,6,154166.67,9666.67
Hyundai Alcazar,Signature,2023,26000,Petrol,Manual,2000000.0,3,666666.67,8666.67
MG Hector Plus,Sharp Pro CVT 7 Str 2023-2025,2023,50000,Petrol,Automatic,1490000.0,3,496666.67,16666.67
Kia Seltos,GTX Plus,2021,45000,Petrol,Manual,1180000.0,5,236000.0,9000.0
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1435000.0,3,478333.33,8000.0
Toyota Corolla Altis,GL,2011,65000,Petrol,Manual,165000.0,15,11000.0,4333.33
Hyundai Creta,SX Opt Diesel AT BSVI,2020,80000,Diesel,Automatic,1125000.0,6,187500.0,13333.33
Hyundai Creta,1.6 VTVT S,2016,65000,Petrol,Manual,640000.0,10,64000.0,6500.0
Kia Seltos,GTX Plus S Turbo DCT,2019,119593,Petrol,Automatic,883000.0,7,126142.86,17084.71
MG Hector Plus,Sharp DCT,2020,61000,Petrol,Automatic,1100000.0,6,183333.33,10166.67
Hyundai Creta,EX BSVI,2020,59000,Petrol,Manual,825000.0,6,137500.0,9833.33
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1525000.0,3,508333.33,13000.0
Kia Seltos,HTK G,2021,33200,Petrol,Manual,821000.0000000001,5,164200.0,6640.0
Ford Ecosport,1.5 Petrol Ambiente BSIV,2018,31500,Petrol,Manual,590000.0,8,73750.0,3937.5
Kia Carens,Luxury Plus iMT 6 STR,2023,48102,Petrol,Manual,1072000.0,3,357333.33,16034.0
Honda CR-V,Diesel 2WD,2019,124000,Diesel,Automatic,1299000.0,7,185571.43,17714.29
Kia Sonet,HTK Plus BSVI,2022,40000,Petrol,Manual,699000.0,4,174750.0,10000.0
Volvo S90,D4 Inscription BSIV,2018,100000,Diesel,Automatic,1800000.0,8,225000.0,12500.0
BMW 3 Series GT,Luxury Line,2016,28000,Diesel,Automatic,1580000.0,10,158000.0,2800.0
Mahindra Marazzo,M4,2019,54000,Diesel,Manual,649000.0,7,92714.29,7714.29
